word,sense_no,sense_def,example
past,1,time,"During the lengthy battle, Liu faces not only Tsung, but the souls that Tsung had forcibly taken in past tournaments."
past,1,time,"Three years later, while coping with her past tragedy, Jenna is invited to stay for the weekend in a lakeside cabin by her best friend Renee (Christina Ulloa)."
past,1,time,"Now a 17-year-old loner, Sean Donovan (Caleb Steinmeyer, HBOs True Blood, ABCs Lost) is relentlessly haunted by his past and obsessed with finding his mothers killer."
past,1,time,Kyle tells Cornell a story about a former soldier who was discharged for being gaya story Strachey draws upon from his own past in his bid to be believable as an aspiring ex-gay.
past,2,pass,"After a frantic race against the clock the family arrives at the hotel, and are curtly told by a pageant organizer that they are a couple minutes past the deadline."
past,2,pass,"Meanwhile, the Surfer's movements around the globe bring him past Latveria, where the cosmic energy affects Victor Von Doom, freeing him from two years encased in metal."
past,2,pass,"The two pass by opposite lanes and the Road Runner signals the coyote, who stops cold after a few seconds and turns back, and after again running past the bird, he reverses only to find the Road Runner has escaped to a lower track."
past,2,pass,"Meanwhile, Zariatin calls Hawk to remind him that his service fees are long past due."
past,2,pass,"He also has a hard time picking up objects that are heavy he can't life them past his knees, even though he think he can."
past,2,pass,"The mob of townspeople charge into the ruins, running past Professor Evans lying severely wounded on the ground."
past,2,pass,"Andy tries to attack her when she speeds past him in the boat, but she escapes with the axe."
past,2,pass,Tucker apologised for his faults and promised to look past hers and Candace decides to give him another chance.
past,2,pass,"Instead, Hamidou takes Billy past the sanitarium to another room and prepares to rape him."
past,2,pass,Inchon begins with North Korean soldiers moving past the 38th parallel north into South Korea in June 1950.
