word,sense_no,sense_def,example
Party,2,occasion,"This morning Miep told us about her cousin’s engagement party, which she went to on Saturday."
Party,2,occasion,"She asked why, as I knew she would, and I told her that I had to buy a present for a party I was going to later that afternoon."
Party,2,occasion,Now the food set the party into a kind of rich digestive sadness.
Party,2,occasion,"She tossed the bag out again, and just when it seemed she would never speak, she said, “Thanks for inviting me to your party.”"
Party,2,occasion,"After all, prior to MADD, it was considered socially acceptable to have one last drink at the party before getting on the road."
Party,2,occasion,"But Og’s birthday party was a special event, and so the usual clientele would be banished for the evening."
Party,2,occasion,It seemed strange that the High Blade would show up at the party of a highly controversial scythe.
Party,2,occasion,"The Tuesday after the Halloween party, Mrs. Richardson stopped by the duplex on Winslow Road."
Party,2,occasion,"Meanwhile his wife, Aunt Mary, was having her own party with a man named Mr. Stein."
Party,2,occasion,“How can you say what he’s done? He could have told half the people at the party.”
Agreement,1,contract,"This Agreement, together with all exhibits attached hereto which are hereby incorporated by reference, supersedes any and all other agreements, either oral or written, between the parties hereto with respect to the subject matter hereof and contains of the covenants and agreements between the parties with respect to said matter."
Agreement,1,contract,Any Improved Products shall be subject to the provisions of this Agreement.
Agreement,1,contract,This Agreement does not create the relationship of principal and agent between the Company and the Distributor for any purpose whatsoever.
Agreement,1,contract,"If Company terminates the Agreement without cause and for reasons other than Distributor's failure to meet its minimum expectations; it shall repurchase from Distributor any unopened Product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which Distributor may be entitled."
Agreement,1,contract,"In addition to any other remedy which this Agreement provides to Distributor against Company, if Company fails to deliver or delays in delivering Products as were ordered by Distributor within 45 days after their required delivery date, and if as a result of such failure or delay Distributor loses its customer's orders for those Products, the number of units which Distributor ordered but were not timely delivered to Distributor or to Distributor's customer will be credited against Distributor's minimum expectation as specified on Section 1."
Agreement,1,contract,"Company will, during the Term of this Agreement (and any renewal term), provide Distributor, at Distributor's cost pursuant to the terms of this Agreement, with five (5) sample units (the Sample or Samples ) for use by Distributor in promoting sales."
Agreement,1,contract,"The termination of this Agreement shall not relieve either party hereto from obligations which have occurred pursuant to the provisions of this Agreement prior to its termination, nor shall it release either party hereto from any obligations which have been incurred as a result of operations conducted under this Agreement."
Agreement,1,contract,"This Agreement may not be altered, amended or modified, except by written instrument signed by the parties hereto."
Agreement,1,contract,"Distributor shall submit written reports to the Company each quarter during the first year of the Term, commencing ninety (90) days after execution of this Agreement, describing its efforts, the potential customers it has approached and the status of its efforts."
Agreement,1,contract,"For purposes of this Agreement, a Product Year shall be the twelve (12) month period following the commencement of the initial Term of this Agreement and each twelve (12) months thereafter."
Agreement,2,opinion,That is not agreement in opinions but in form of life.’
Agreement,2,opinion,I am in agreement one hundred per cent with those racists who say that no government laws ever can force brotherhood.
Agreement,2,opinion,"He was looking at her, soliciting her agreement with his eyes: they were not supposed to watch Nollywood, people like them, and if they did, then only as amusing anthropology."
Agreement,2,opinion,"Besides, “she understands my own temper, and we have a tacit agreement, as it were, not to carp at each other.”"
Agreement,2,opinion,"“Yes,” I said, and instantly regretted my unconditional agreement."
Agreement,2,opinion,"If no agreement could be reached, another meeting would be held."
Agreement,2,opinion,"Only two days ago, she would have left it at that, respecting their unspoken agreement to tread lightly in each other’s pasts."
Agreement,2,opinion,"According to Mom, the office had an unofficial agreement to never bring their kids’ school fund-raising catalogs to work."
Agreement,2,opinion,"The most logical explanation is that the wrestlers made a quid pro quo agreement: you let me win today, when I really need the victory, and I’ll let you win the next time."
Agreement,2,opinion,"Kira nodded agreement, and Thomas left the room to summon the tenders."
Company,1,organization,"Distributor shall not issue, print or disseminate any information about the Products in the first Product Year without the express written consent of the Company."
Company,1,organization,The Distributor shall not disclose this agreement except upon consent of Company.
Company,1,organization,Distributor will have direct access to (a) the Company's engineering consultants and (b) the patent holder's technicians.
Company,1,organization,"Except for the Improved Products for which the Distributor receives the Annual Notice, the Company shall sell Improved Products to Distributor only with the consent of the Distributor."
Company,1,organization,Copies of all documents relating to the use of the Names shall be forwarded to the Company.
Company,1,organization,"Within thirty (30) days after the execution of this Agreement, the Company and the Distributor shall mutually agree upon a reasonable schedule of charges for after market parts and services provided by the Company or the Distributor so that such charges do not adversely affect the marketability of the Products."
Company,1,organization,"If the Distributor reasonably demonstrates that the Company is responsible for such damage or defect, the Company shall promptly deliver and install at the Company's expense, additional or substitute Products to the subdistributor's customer without additional cost or charge to the Distributor or the customer for material, labor, shipping, insurance or any other charge."
Company,1,organization,The Company hereby grants the Distributor the right to do business and use the name Electric City of Illinois or a similar variation thereof (collectively the Names ) for use under this Agreement.
Company,1,organization,"If Company terminates the Agreement without cause and for reasons other than Distributor's failure to meet its minimum expectations; it shall repurchase from Distributor any unopened Product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which Distributor may be entitled."
Company,1,organization,"The Distributor desires to become a distributor for the Company and to develop demand for and sell and distribute Products solely for the use within the State of Illinois, including but not limited to public and private entities, institutions, corporations, public schools, park districts, corrections facilities, airports, government housing authorities and other government agencies and facilities (the Market )."
Company,2,companionship,"And sadly, his good friend Roulin, who has been keeping close company with him, has been transferred to Marseille."
Company,2,companionship,At least someone was glad for her company.
Company,2,companionship,"The out-of-state newcomer, rich and headstrong, contented herself with luxury and even less of their company."
Company,2,companionship,he missed their company
Company,2,companionship,In Mooers Forks there were rumors that a boy seen in his company had disappeared.
Company,2,companionship,"One afternoon, when Mami needs to go out grocery shopping, Baba comes over to keep me company."
Company,2,companionship,"She can be wonderful company, but—she can also be Alice."
Company,2,companionship,"He and his dad drove to Peoria, Illinois, one weekend when Colin was eleven to visit Colin's great-great-aunt Esther, who was in a coma at the time and therefore not very good company."
Company,2,companionship,"Knowing that the children would be left alone locked in the rooms, she decided to keep them company."
Company,2,companionship,"“It’s the company, not the cooking, that makes the meal.”"
Product,1,goods,"Distributor shall not issue, print or disseminate any information about the Products in the first Product Year without the express written consent of the Company."
Product,1,goods,"Except for the Improved Products for which the Distributor receives the Annual Notice, the Company shall sell Improved Products to Distributor only with the consent of the Distributor."
Product,1,goods,"Within thirty (30) days after the execution of this Agreement, the Company and the Distributor shall mutually agree upon a reasonable schedule of charges for after market parts and services provided by the Company or the Distributor so that such charges do not adversely affect the marketability of the Products."
Product,1,goods,"If the Distributor reasonably demonstrates that the Company is responsible for such damage or defect, the Company shall promptly deliver and install at the Company's expense, additional or substitute Products to the subdistributor's customer without additional cost or charge to the Distributor or the customer for material, labor, shipping, insurance or any other charge."
Product,1,goods,"If Company terminates the Agreement without cause and for reasons other than Distributor's failure to meet its minimum expectations; it shall repurchase from Distributor any unopened Product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which Distributor may be entitled."
Product,1,goods,"The Distributor desires to become a distributor for the Company and to develop demand for and sell and distribute Products solely for the use within the State of Illinois, including but not limited to public and private entities, institutions, corporations, public schools, park districts, corrections facilities, airports, government housing authorities and other government agencies and facilities (the Market )."
Product,1,goods,"Following expiration or termination of this Agreement, the Distributor may continue to sell any Products in the Market which are in its inventory Page -9- and which the Company has not repurchased."
Product,1,goods,"(A) Distributor shall be entirely responsible for learning, understanding and training about the Products, the costs of advertising and promoting the Products in the Market through the Term of this Agreement."
Product,1,goods,(B) Defective Products.
Product,1,goods,"In order to maintain the exclusive rights to sell, lease, distribute and service Products in the Market, the Distributor must use all commercially reasonably efforts to purchase for sale to subdistributors the following minimum quantities of the Products from the Company: On the commencement of the Term Distributor will issue to the Company an irrevocable letter of credit ( LC ) in the amount of Five Hundred Thousand Dollars ($500,000), the form of which is attached hereto as Exhibit A and incorporated herein by reference."
Product,2,consequence,"She was, in her own way, a product of the spirit of American self-construction."
Product,2,consequence,"The “product,” as he calls it, was not as good as theater."
Product,2,consequence,"I had merely stumbled upon another lovely adaptation in nature, itself the product of micromutation and natural selection."
Product,2,consequence,"The abuses that have followed from these policies—the sprawling carceral state, the random detention of black people, the torture of suspects—are the product of democratic will."
Product,2,consequence,"It is hard to feel affection for something as totally impersonal as the atmosphere, and yet there it is, as much a part and product of life as wine or bread."
Product,2,consequence,"He had something in reserve, some ingenious product of his counselor’s wits that would overwhelm their scheme."
Product,2,consequence,"“The fact that the white race has the same problems proves these are not Negro characteristics, but the product of our condition as men,” I said."
Product,2,consequence,I was a product of her search for belonging.
Product,2,consequence,So it was quite easy to imagine her the product of an unsatisfied mother who unduly stressed the desirability of professional careers that could save bright girls from marriages to dull men.
Product,2,consequence,"The product of demographic calamity, the newly created wilderness was indeed beautiful."
notice,1,announcement,"If, within the twenty-four (24) month warranty period set forth above, Company received from Distributor or any of Distributor's end-user's a notice which may be oral notice confirmed in writing) that any of the Products sold hereunder do not meet the Warranties specified above, Company shall thereupon correct each such defect by providing the necessary repairs, and/or replacement parts, or if necessary, Products."
notice,1,announcement,"(C) Company will timely furnish all of Distributor's requirements for Products within the Market, provided it is given adequate notice of Distributor's requirements and a full and fair opportunity to fulfill the same."
notice,1,announcement,"Any such notice shall be deemed given when so delivered personally, Page -12- telegraphed, telexed or sent by facsimile transmission or, if mailed, two (2) business days after the date of deposit in the United States mail, by certified mail return receipt requested, as follows: If to the Distributor to: Electric City of Illinois L."
notice,1,announcement,"Company will make reasonable efforts to procure a policy, which is non-cancelable, except upon thirty (30) days, advance notice to the Distributor."
notice,1,announcement,Distributor shall make reasonable efforts to notify the Company of the proposed delivery schedule before accepting a customer order and shall give the Company written notice of any customer purchase orders which imposes liability for late shipment and neither the Distributor nor the Company shall have a liability for consequential or liquidated damages pertaining to late delivery unless Company specifically acknowledges and agrees in writing to the same.
notice,1,announcement,"Either party may terminate this Agreement upon 30 days Page -8- prior written notice to the other upon the occurrence of any of the following events: (A) the Distributor's failure to make full and prompt payment to the Company of all sums due and owing to it; (b) either party's default in the performance of any of the material, terms, conditions, obligations, undertakings, covenants or liabilities set forth herein and such default is not cured within a commercially reasonable time after the defaulting party has been notified of the default by the other party and (c) as otherwise expressly provided herein."
notice,1,announcement,"Any notice or other communication required or permitted hereunder shall be in writing and shall be delivered personally, telegraphed, telexed, or sent by facsimile transmission or sent by certified, registered or express mail, postage prepaid."
notice,1,announcement,"At the Company's sole discretion, and at any time, the Company may give the Distributor at least 90 days advance notice ( Annual Notice ) of any modification, improvement or alteration of Products ( New Products ) and development of new models of Products (collectively with New Products , Improved Products )."
notice,1,announcement,"In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice."
notice,1,announcement,Company shall promptly respond to any timely notice of defect.
notice,2,observing,"I wore it to greet my father that evening, but he barely seemed to notice."
notice,2,observing,At first the women said it and the men said they were jealous; then men too began to notice and remark on it and wonder why her husband did nothing.
notice,2,observing,"The other children were too busy sniffling and biting their fingernails to notice, and if he hurried, he might even copy the answers down before the pencil woman looked up again."
notice,2,observing,"Something about Holmes must have caused people to take notice, because both Thomas and his clerk remembered him."
notice,2,observing,They don’t seem to notice I am smelly.
notice,2,observing,"The breeze just blew it out again, but she didn't seem to notice."
notice,2,observing,"Mark pointed the gun at the people on the hatch door of the Berg and fired off two quick shots, knowing he needed to get their attention immediately so they wouldn’t notice Alec."
notice,2,observing,"From a caretaker who had a radio, we also learned that news reporters from the outside world had begun to take notice of the Lost Boys."
notice,2,observing,"No one appeared to notice, or even care."
notice,2,observing,“I don’t think the Red Guards will notice them.”
